Tipo_do_Produto,Descricao,Preco,Categoria,Condicao,Preco_Condominio,IPTU,Area,Quantidade_Quartos,Quantidade_Banheiros
Imóveis,CASA NA RUA RUA PADRE ANCHIETA ESQ EM BURITIS-MG,R$ 46.871,Casas,Venda - casa em rua pública,nan,nan,53m²,2,nan
Imóveis,"Quartier Brooklin - 137m² - Brooklin, SP - ID17646",R$ 1.515.000,Apartamentos,Venda - apartamento padrão,nan,nan,137m²,3,0
Imóveis,*Oportunidade* Casa à venda com 3 dormitórios - Santa Tereza II,R$ 550.000,Casas,Venda - casa em rua pública,nan,nan,0m²,3,3
Imóveis,Insígnia Campo Belo - 77 a 128m² - 2 a 3 Quartos - 2 a 4 Banheiros - 2 a 3 Suítes - 1 ...,R$ 800.000,Apartamentos,Venda - apartamento padrão,R$ 0,R$ 0,77m²,2,nan
Imóveis,Casa  a venda condominio paraiso em guarajuba ,R$ 3.100,Casas,Venda - casa em condominio fechado,R$ 714,R$ 7.800,680m²,5 ou mais,5 ou mais
Imóveis,"Apartamento à venda com 4 dormitórios em Savassi, Belo horizonte cod:271842",R$ 1.100.000,Apartamentos,Venda - apartamento padrão,nan,nan,144m²,4,3
Imóveis,Lindo apartamento 3 quartos no Recreio dos Bandeirantes - Gleba A,R$ 649.000,Apartamentos,Venda - apartamento padrão,R$ 650,R$ 2.000,82m²,3,3
Imóveis, ; Mares Maluí  ,R$ 0,"Terrenos, sítios e fazendas",,nan,nan,nan,nan,nan
Imóveis,Apartamento à Venda 3 Dormitórios e 2 Vagas no Bairro Dores,R$ 795.000,Apartamentos,Venda - apartamento padrão,R$ 300,R$ 80,132m²,3,2
Imóveis,"Quartier Brooklin - 137m² - 3 a 4 quartos - Brooklin, SP - ID17646",R$ 2.196.000,Apartamentos,Venda - apartamento padrão,R$ 0,R$ 0,178m²,3,nan
Imóveis,Vicente Pires Jockey oportunidade,R$ 345.000,"Terrenos, sítios e fazendas",,R$ 100,R$ 180,400m²,nan,nan
Imóveis,A.cleo..morar no que é seu Só depende de VOCÊ ,R$ 135.000,Apartamentos,Venda - apartamento padrão,nan,nan,nan,2,1
Imóveis,Estrutural casa 3 quartos escriturada próximo entrada *,R$ 150.000,Casas,Venda - casa em rua pública,nan,R$ 75,86m²,3,2
Imóveis,Cpt-Compre em 30X sem financiamento,R$ 165.000,Apartamentos,Venda - apartamento padrão,nan,nan,nan,1,1
Imóveis,Samuel Pereira oferece: Sobrado 4 Quartos Alto da Boa Vista analisa venda Financiada,R$ 790.000,Casas,Venda - casa em condominio fechado,R$ 425,R$ 1.200,280m²,4,5 ou mais
Imóveis,Apartamento 3 quartos sendo 1 suíte à venda no Costa Azul. 72 m² com varanda,R$ 420.000,Apartamentos,Venda - apartamento padrão,R$ 690,R$ 90,72m²,3,3
Imóveis,Imóvel novo em Piracicaba / SP - Bairro Jardim Sol Nascente II,R$ 220.000,Casas,Venda - casa em vila,nan,R$ 200,56m²,2,1
Imóveis,"Apartamento à venda com 3 dormitórios em Chácara das pedras, Porto alegre cod:294106",R$ 3.500.000,Apartamentos,Venda - apartamento padrão,R$ 1.300,R$ 0,310m²,3,1
Imóveis,Apartamento 3 dormitórios no Parque Industrial/ Financiamento direto com a construtora,R$ 361.923,Apartamentos,Venda - apartamento padrão,nan,nan,81m²,3,2
Imóveis,SN-EDIFICIO FOMABOYANT,R$ 695.023,Apartamentos,Venda - apartamento padrão,nan,nan,134m²,3,nan
Imóveis,Sala no Jatobá Locação,R$ 1.500,Comércio e indústria,nan,R$ 600,R$ 100,50m²,nan,nan
Imóveis,"Casa à venda com 4 dormitórios em Realengo, Rio de janeiro cod:820945",R$ 550.000,Casas,Venda - casa em rua pública,nan,R$ 668,225m²,4,2
Imóveis,A.cleo..morar no que é seu Só depende de VOCÊ ,R$ 135.000,Apartamentos,Venda - apartamento padrão,nan,nan,nan,2,1
Imóveis,GS Realize seu pomar dos sonhos em Atibaia!,R$ 15.000,"Terrenos, sítios e fazendas",,nan,nan,450m²,nan,nan
Imóveis,Terreno em Paracuru,R$ 138.000,"Terrenos, sítios e fazendas",,nan,nan,1050m²,nan,nan
Imóveis,Cpt-Compre em 30X sem financiamento,R$ 165.000,Apartamentos,Venda - apartamento padrão,nan,nan,nan,1,1
