Competição,Títulos,Temporadas
Copa Rio Internacional,1,1951
Copa Libertadores da América,2,"1999,2020"
Copa Mercosul,1,1998
Campeonato Brasileiro,10,"1960,1967,1967,1969,1972,1973,1993,1994,2016,2018"
Copa do Brasil,4,"1998,2012,2015,2020"
Copa dos Campeões,1,2000
Campeonato Brasileiro - Série B,2,"2003,2013"
Torneio Rio-São Paulo,5,"1933,1951,1965,1993,2000"
Torneio Rio-São Paulo,5,"1933,1951,1965,1993,2000"
Campeonato Paulista,23,"1920,1926,1927,1932,1933,1934,1936,1940,1942,1944,1947,1950,1959,1963,1966,1972,1974,1976,1993,1994,1996,2008,2020"
Campeonato Paulista Extra,2,"1926,1938"
